titleHebrew,titleEnglish,genre,CEFR,hebrew,english,hebrewNoNiqqud
,Costa del Sol,travel,A1,,,
,The Cat Cafe,dialogue,A1,,,
,The Campsite,dialogue,A1,,,
,The Movie Theater,dialogue,A1,,,
,The Airport Security Check,dialogue,A1,,,
,The Cursed Mirror,horror,A1,,,
,The First Day at a New Job,monologue,A1,,,
,The Solar System,science,A1,,,
,The Taxi,dialogue,A1,,,
,The Hidden Treasure,monologue,A1,,,
,Today's Weather,monologue,A1,,,
,Spirited Away,fantasy,A1,,,
,At the Dentist,dialogue,A1,,,
,Discussing an Allergy,dialogue,A1,,,
,Packing for a Vacation,monologue,A1,,,
,The Terrible Date,dialogue,A1,,,
,The Doctor's Office,dialogue,A1,,,
,The Viking Age,history,A1,,,
,The Train Station,dialogue,A1,,,
,The Pharmacy,dialogue,A1,,,
,The Bookstore,dialogue,A1,,,
,The Bakery,dialogue,A1,,,
,The Beach,dialogue,A1,,,
,The Secret Door,monologue,A1,,,
,The Convenience Store,dialogue,A1,,,
,The Electronics Store,dialogue,A1,,,
,Life on Mars,science fiction,A1,,,
,Mushrooms,food,A1,,,
,Cleaning My Room,monologue,A1,,,
,Magnets in Everyday Life,technology,A1,,,
,Staying Active Indoors,health,A1,,,
,Metropolis,science fiction,A1,,,
,My Neighborhood,monologue,A1,,,
,My Home,monologue,A1,,,
,My Classroom,monologue,A1,,,
,My Favorite Food,monologue,A1,,,
,My Favorite Hobby,monologue,A1,,,
,My First Cooking Attempt,monologue,A1,,,
,My Morning Routine,monologue,A1,,,
,My Morning Commute,monologue,A1,,,
,My Pets,monologue,A1,,,
,New Year's Eve in Spain,culture,A1,,,
,Desert Oases,science,A1,,,
,Patatas bravas,food,A1,,,
,Asking for Wi-Fi Access,dialogue,A1,,,
,Asking for Help at the Airport,dialogue,A1,,,
,Asking for Directions,dialogue,A1,,,
,Ordering Ice Cream,dialogue,A1,,,
,Why Plants Need Sunlight,science,A1,,,
,Checking into a Hotel,dialogue,A1,,,
,Booking a Hotel Room,dialogue,A1,,,
,Political Systems of the World,politics,A1,,,
,Sushi,food,A1,,,
,Typically Spanish,culture,A1,,,
,A Day in the Countryside,monologue,A1,,,
,A Day at the Zoo,monologue,A1,,,
,A Day at an Amusement Park,monologue,A1,,,
,Visiting a Museum,monologue,A1,,,
,Visiting an Aquarium,monologue,A1,,,
,Albert Einstein,biography,A2,,,
,Spanish Lunch,food,A2,,,
,Blue Whales,science,A2,,,
,Barcelona,travel,A2,,,
,Compasses,technology,A2,,,
,Catalan,language,A2,,,
,Spanish Dinner,food,A2,,,
,A Dinner for Two,dialogue,A2,,,
,Self-Driving Cars,technology,A2,,,
,Street Food,food,A2,,,
,Comfort Food,food,A2,,,
,How Colors Affect Emotions,psychology,A2,,,
,How Stars Are Born,science,A2,,,
,Buying Souvenirs,dialogue,A2,,,
,Shopping for Clothes,dialogue,A2,,,
,Intergalactic Communication,science fiction,A2,,,
,Budget Travel Tips,travel,A2,,,
,Córdoba,travel,A2,,,
,Spanish Breakfast,food,A2,,,
,The Mediterranean Diet,health,A2,,,
,Regional Differences in Spanish,language,A2,,,
,Don Quixote,drama,A2,,,
,Formal Spanish,language,A2,,,
,GPS,technology,A2,,,
,The Grand Canyon,travel,A2,,,
,The Role of Luck in History,history,A2,,,
,The Restaurant,dialogue,A2,,,
,The Zombie,horror,A2,,,
,January in Spain,culture,A2,,,
,Basque,language,A2,,,
,Exploring Paris,monologue,A2,,,
,Exploring a Forest,monologue,A2,,,
,Gazpacho,food,A2,,,
,George Orwell,biography,A2,,,
,Guernica,culture,A2,,,
,Smart Homes,technology,A2,,,
,Homage to Catalonia,history,A2,,,
,Capsule Hotels,travel,A2,,,
,Artificial Intelligence,technology,A2,,,
,June in Spain,culture,A2,,,
,The Lost Wallet,dialogue,A2,,,
,The Old City of Jerusalem,travel,A2,,,
,Solar Power in Spain,technology,A2,,,
,The Great Wall of China,travel,A2,,,
,Hibernation,science,A2,,,
,The Post Office,dialogue,A2,,,
,Ladino,language,A2,,,
,Indian Spices,food,A2,,,
,London,travel,A2,,,
,The Beatles,culture,A2,,,
,Dinosaurs,science,A2,,,
,Volcanoes,science,A2,,,
,Madrid,travel,A2,,,
,May in Spain,culture,A2,,,
,Miguel de Cervantes,biography,A2,,,
,People-Watching in a Train Station,monologue,A2,,,
,October in Spain,culture,A2,,,
,Pablo Picasso,biography,A2,,,
,Paella,food,A2,,,
,City Parks,travel,A2,,,
,Political Parties in Spain,politics,A2,,,
,Pizza,food,A2,,,
,Simple Pleasures,monologue,A2,,,
,Weekend Plans,dialogue,A2,,,
,Why the Sky is Blue,science,A2,,,
,Why We Dream,psychology,A2,,,
,Preparing for an Exam,monologue,A2,,,
,Instant Ramen,food,A2,,,
,Recycling,technology,A2,,,
,Rome,travel,A2,,,
,Sagrada Família,culture,A2,,,
,Salvador Dalí,biography,A2,,,
,September in Spain,culture,A2,,,
,Seoul,travel,A2,,,
,Symbolism in Everyday Objects,drama,A2,,,
,Conveyor Belt Sushi,food,A2,,,
,Tapas,food,A2,,,
,A Day at the Library,monologue,A2,,,
,Utopias and Dystopias,drama,A2,,,
,Traveling Alone in Spain,monologue,A2,,,
,April in Spain,culture,B1,,,
,August in Spain,culture,B1,,,
,Unlikely Alliances in History,history,B1,,,
,Animal Crossing,culture,B1,,,
,Bioluminescent Animals,science,B1,,,
,Social Anxiety,psychology,B1,,,
,Antiheroes,drama,B1,,,
,Learning a New Language,monologue,B1,,,
,Tactile Learning,psychology,B1,,,
,Regret,psychology,B1,,,
,Berlin,travel,B1,,,
,Biohacking,health,B1,,,
,Buddhism,philosophy,B1,,,
,Climate Change,science,B1,,,
,A Song of Ice and Fire,fantasy,B1,,,
,Tiny Homes,culture,B1,,,
,Smart Cities,technology,B1,,,
,Clichés,drama,B1,,,
,Cooking in a Hostel Kitchen,monologue,B1,,,
,Handling a Disagreement,dialogue,B1,,,
,The Basics of Coding,technology,B1,,,
,Confessions of a Bored Vampire,monologue,B1,,,
,Tragic Flaws in Literature,drama,B1,,,
,Digital Detoxes,health,B1,,,
,December in Spain,culture,B1,,,
,Game Design,technology,B1,,,
,Domestication,science,B1,,,
,Dracula,horror,B1,,,
,The Currency Exchange,dialogue,B1,,,
,The Airport Check-In,dialogue,B1,,,
,The Dunning–Kruger Effect,psychology,B1,,,
,The Wizard of Oz,fantasy,B1,,,
,The Berlin Wall,history,B1,,,
,The Three-Body Problem,science fiction,B1,,,
,The Renaissance,history,B1,,,
,The Shining,horror,B1,,,
,The Truman Show,drama,B1,,,
,The Hero’s Journey,fantasy,B1,,,
,Stoicism,philosophy,B1,,,
,February in Spain,culture,B1,,,
,Frankenstein,horror,B1,,,
,Atomic Habits,psychology,B1,,,
,Making Friends While Traveling,travel,B1,,,
,Hannah Arendt,biography,B1,,,
,Stories Within Stories,drama,B1,,,
,Fungi,science,B1,,,
,July in Spain,culture,B1,,,
,Democracy in Ancient Athens,history,B1,,,
,The Secret Energy of Plants,science,B1,,,
,The History of Maps,history,B1,,,
,The Spanish Inquisition,history,B1,,,
,The Psychology of Happiness,psychology,B1,,,
,The Big Bang Theory,science,B1,,,
,The Small Choices That Shape Us,dialogue,B1,,,
,Dead Languages,language,B1,,,
,Liminality,drama,B1,,,
,Public Transit Maps,travel,B1,,,
,Flavor Pairing,food,B1,,,
,Sustainable Seafood,food,B1,,,
,March in Spain,culture,B1,,,
,Unusual Modes of Transportation,travel,B1,,,
,Minimalism,philosophy,B1,,,
,Nintendo,culture,B1,,,
,November in Spain,culture,B1,,,
,Oslo,travel,B1,,,
,Secret Passageways,fantasy,B1,,,
,Planning a Day of Adventure,monologue,B1,,,
,Introducing Myself,monologue,B1,,,
,Complaining About a Service,dialogue,B1,,,
,The Industrial Revolution,history,B1,,,
,Impostor Syndrome,psychology,B1,,,
,Writing Systems,language,B1,,,
,Superfoods,health,B1,,,
,Birth Order Theory,psychology,B1,,,
,Tropes,drama,B1,,,
,Vaccines,health,B1,,,
,Magic Wands,fantasy,B1,,,
,Viruses,science,B1,,,
,"Wicked, Part I",fantasy,B1,,,
,"Wicked, Part II",fantasy,B1,,,
,Blue Zones,health,B1,,,
,Eternal Sunshine of the Spotless Mind,drama,B2,,,
,What is Beauty?,philosophy,B2,,,
,Black Holes,science,B2,,,
,Staple Foods,food,B2,,,
,Craving Versus Longing,psychology,B2,,,
,Atheism,philosophy,B2,,,
,Zen Buddhism,philosophy,B2,,,
,Vegetarian Cooking,food,B2,,,
,Ethical Consumerism,philosophy,B2,,,
,Christianity,philosophy,B2,,,
,Cyberpunk,science fiction,B2,,,
,Animal Rights,philosophy,B2,,,
,Modern Dictatorships,politics,B2,,,
,Scandinavian Design,culture,B2,,,
,Dualities in Characters,drama,B2,,,
,The Raven,horror,B2,,,
,The Placebo Effect,psychology,B2,,,
,The Allure of Hidden Places,psychology,B2,,,
,The Nation-State,politics,B2,,,
,The Spanish Empire,history,B2,,,
,The Fear of Missing Out,psychology,B2,,,
,The Role of Travel in Self-Discovery,travel,B2,,,
,The Uncanny Valley,psychology,B2,,,
,Exoplanets,science,B2,,,
,Exploring a Haunted House,horror,B2,,,
,Feminism,politics,B2,,,
,Phoenixes,fantasy,B2,,,
,Friedrich Nietzsche,biography,B2,,,
,Alternate History,fantasy,B2,,,
,Homo Deus,history,B2,,,
,AI and Medicine,technology,B2,,,
,Gay Icons,culture,B2,,,
,Artificial Intelligence in Fiction,science fiction,B2,,,
,Islam,philosophy,B2,,,
,Judaism,philosophy,B2,,,
,The Allegory of the Cave,philosophy,B2,,,
,Ancient Rome,history,B2,,,
,Socrates' Quest for Truth,philosophy,B2,,,
,The Cabin in the Dark,horror,B2,,,
,The Space Race,history,B2,,,
,The City in the Trees,fantasy,B2,,,
,World-Building,fantasy,B2,,,
,The Crisis of Masculinity,culture,B2,,,
,Francoist Spain,history,B2,,,
,The Spanish Civil War,history,B2,,,
,The Cold War,history,B2,,,
,World War I,history,B2,,,
,The Psychology of Loneliness,psychology,B2,,,
,World War II,history,B2,,,
,The Theory of Evolution,science,B2,,,
,The Lives of Others,drama,B2,,,
,Queer Life in Spain,culture,B2,,,
,The United Nations,politics,B2,,,
,Liberalism,politics,B2,,,
,The Norse Gods,fantasy,B2,,,
,Dreams as a Narrative Devices,drama,B2,,,
,Meditation,psychology,B2,,,
,Mob Mentalities,psychology,B2,,,
,Mesopotamia,history,B2,,,
,Nineteen Eighty-Four,drama,B2,,,
,Multitasking,psychology,B2,,,
,Natalie Wynn,philosophy,B2,,,
,Neurodiversity,psychology,B2,,,
,Digital Nomads,culture,B2,,,
,Lost in Space,science fiction,B2,,,
,Lost in Translation,drama,B2,,,
,Why I Collect Maps,monologue,B2,,,
,Procrastination,psychology,B2,,,
,Modern Propaganda,politics,B2,,,
,Book Burnings,history,B2,,,
,Personality Traits,psychology,B2,,,
,Social Media,technology,B2,,,
,Spanish–United States Relations,history,B2,,,
,Circadian Rhythms,health,B2,,,
,Mental Health,health,B2,,,
,Sapiens,history,B2,,,
,Cognitive Biases,psychology,B2,,,
,Cashless Societies,technology,B2,,,
,Overcoming a Language Barrier,monologue,B2,,,
,Smartphones,technology,B2,,,
,Conspiracy Theories,psychology,B2,,,
,Terraforming Mars,science fiction,B2,,,
,Tokyo,travel,B2,,,
,Maglev Trains,technology,B2,,,
,Alan Watts,biography,C,,,
,Fermented Foods,food,C,,,
,Colonialism,history,C,,,
,Fascism,politics,C,,,
,Free Will,philosophy,C,,,
,The Wild Duck,drama,C,,,
,The Weight of Ordinary Lives,dialogue,C,,,
,Existentialism,philosophy,C,,,
,The Banality of Evil,philosophy,C,,,
,The Good Life,philosophy,C,,,
,The Constitution of Spain,politics,C,,,
,Envy,psychology,C,,,
,The Philosophy of Second Languages,philosophy,C,,,
,Socratic Philosophy,philosophy,C,,,
,The History of Disinformation,history,C,,,
,Identity,psychology,C,,,
,Impermanence,philosophy,C,,,
,The Legend of Zelda - Ocarina of Time,culture,C,,,
,The Metamorphosis,drama,C,,,
,Death in Philosophy,philosophy,C,,,
,Nothingness,philosophy,C,,,
,The Paradox of Choice,psychology,C,,,
,Political Satire,politics,C,,,
,Horseshoe Theory,politics,C,,,
,White Lies,philosophy,C,,,
,The Kafkaesque,drama,C,,,
,Social Welfare States,politics,C,,,
,Time Travel,fantasy,C,,,
,Marxism,politics,C,,,
,"Synecdoche, New York",psychology,C,,,
,Peer Gynt,drama,C,,,
,Catching Up After Years Apart,dialogue,C,,,
,Authoritarian Populism,politics,C,,,
,Sigmund Freud,biography,C,,,
,An Enemy of the People,drama,C,,,
